fold,subject_id,video_name,window_idx,window_start_sec,ear_mean,ear_min,ear_std,perclos,blink_rate,mar_mean,mar_max,is_yawn,pitch_mean,yaw_mean,roll_mean,pitch_std,frames_total,frames_no_face,low_quality,drowsiness_level
Fold1,Fold1_01,0.mov,0,0.06673590723610111,0.25327042147506273,0.09870663983702008,0.04180150916893967,0.09090909090909091,0.0,0.006304892013171858,0.02393590147712381,0,10.923812027617162,-23.984230131267342,-6.165954932552401,1.4908732531395366,22,0,0,0
Fold1,Fold1_01,0.mov,1,1.5349258664303256,0.30475990619407645,0.26758535551853835,0.01398716416443754,0.045454545454545456,0.0,0.0024033355704622655,0.005147660371523292,0,12.042433965196695,-26.664445561258223,-6.890843443999946,0.31232360904093287,22,0,0,0
Fold1,Fold1_01,0.mov,2,3.00311582562455,0.2970105503263741,0.22556467428447208,0.0274102372947109,0.030303030303030304,0.0,0.003337576031785241,0.007161956322508284,0,9.573547103877027,-27.591294141138793,-5.057635401602807,1.7500842454146182,22,0,0,0
Fold1,Fold1_01,0.mov,3,4.4713057848187745,0.30777956168033965,0.29743654874526215,0.0050631277246163085,0.022727272727272728,0.0,0.004982591589737079,0.006784918353934909,0,6.124602024254287,-26.31680599361174,-4.315703740469963,0.8882007750827484,22,0,0,0
Fold1,Fold1_01,0.mov,4,5.939495744012999,0.2889905256366576,0.24645844402117567,0.01543695174451511,0.01818181818181818,0.0,0.004411337505532484,0.0065284806627564735,0,9.618837226152925,-27.236217841199956,-4.258357158799783,0.7940367005082292,22,0,0,0
Fold1,Fold1_01,0.mov,5,7.407685703207223,0.30512837078689625,0.27495755673549427,0.012763839626256858,0.015151515151515152,0.0,0.004756388895447531,0.006683639664709638,0,8.816558296636705,-28.705198389696797,-3.939753147345415,0.28200028197696286,22,0,0,0
Fold1,Fold1_01,0.mov,6,8.875875662401448,0.2712677406524297,0.18552412128240447,0.03659413735120657,0.025974025974025976,0.0,0.006536186471215167,0.007067520098869534,0,8.189136699162885,-28.4100883500405,-3.6157415242444526,0.16624449185503654,22,0,0,0
Fold1,Fold1_01,0.mov,7,10.344065621595671,0.2899076761044258,0.17808738985147038,0.03437351902633001,0.028409090909090908,0.0,0.005869690926429989,0.006683403294187171,0,8.393412615864221,-28.269455364739073,-3.53437791623714,0.15267145868628354,22,0,0,0
Fold1,Fold1_01,0.mov,8,11.812255580789897,0.29390307896856666,0.17370207307560048,0.0376954663140022,0.030303030303030304,0.0,0.005635198465499746,0.006504323194035916,0,8.566790084530673,-28.180409139287008,-3.4319966415301093,0.15625880919948784,22,0,0,0
Fold1,Fold1_01,0.mov,9,13.280445539984122,0.3150062050157827,0.3111839177900598,0.002205218217648042,0.02727272727272727,0.0,0.005263004647658001,0.005894184089189068,0,9.042641381523564,-28.420470440523346,-3.638174964250103,0.11893189829458375,22,0,0,0
Fold1,Fold1_01,0.mov,10,14.748635499178345,0.3095642708407869,0.26088239400296154,0.01795432320443369,0.024793388429752067,0.0,0.005174071340595617,0.006076898807418175,0,9.112754286837854,-28.667935431774325,-3.522934277798313,0.18271616697537593,22,0,0,0
